Title,Author,ISBN,Genre,Description,CoverUrl,RentalPrice,Copies
"High Noon","Nora Roberts",9785699387,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/5372465-L.jpg,3.99,3
"204 Rosewood Lane (Cedar Cove, Book 2)","Debbie Macomber",9782280812,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/771674-L.jpg,2.99,19
"The divide","Nicholas Evans",9022543234,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14621188-L.jpg,1.99,3
"Born in Ice","Nora Roberts",9788466306,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6975928-L.jpg,2.99,3
"Susannah's Garden","Debbie Macomber",0778324443,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/531936-L.jpg,2.99,11
"Novels (Emma / Lady Susan / Mansfield Park / Northanger Abbey / Persuasion / Pride and Prejudice / Sense and Sensibility)","Jane Austen",9780760700,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9277892-L.jpg,5.99,7
"Heaven and Earth","Nora Roberts",5699050280,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/319246-L.jpg,9.99,3
"The Nonesuch","Georgette Heyer",0099436760,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/221924-L.jpg,3.99,3
"Inner Harbor","Nora Roberts",0749906197,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3202516-L.jpg,2.99,16
"16 Lighthouse Road","Debbie Macomber",0373602960,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4691614-L.jpg,4.99,1
"Patchwork Planet","Anne Tyler",0140275525,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/71340-L.jpg,4.99,2
"Safe harbour","Danielle Steel",0307376397,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/240011-L.jpg,9.99,3
"Giant's bread","Agatha Christie",2234026083,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6623710-L.jpg,2.99,3
"True Betrayals","Nora Roberts",9788376489,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3886218-L.jpg,3.99,1
"Back on Blossom Street","Debbie Macomber",9780778324,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2815386-L.jpg,4.99,1
"Leap of Faith","Danielle Steel",9785170104,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/371493-L.jpg,3.99,1
"Autobiographie de ma mère","Jamaica Kincaid",9783596142,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3103690-L.jpg,2.99,1
"Angels Fall","Nora Roberts",9022547531,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1397491-L.jpg,2.99,6
"Dark Witch","Nora Roberts",9788378397,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7621299-L.jpg,9.99,4
"A paixão segundo G.H.","Clarice Lispector",0816617112,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4141933-L.jpg,1.99,18
"Blood Brothers","Nora Roberts",9788466324,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7246357-L.jpg,9.99,2
"Emma's secret","Barbara Taylor Bradford",1594130639,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1957559-L.jpg,4.99,1
"Heir of Fire","Sarah J. Maas",9781619630,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9318480-L.jpg,5.99,3
"El amante japonés","Isabel Allende",9789562624,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7435439-L.jpg,3.99,3
"The Burnt House","Faye Kellerman",9783442737,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4943234-L.jpg,2.99,1
"Black Sheep","Georgette Heyer",9780553248,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4963234-L.jpg,2.99,6
"Johnny Angel","Danielle Steel",9782258062,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/467549-L.jpg,4.99,3
"Ceremony in Death","Nora Roberts",5699019936,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3111486-L.jpg,1.99,12
"The One (The Selection #3)","Kiera Cass",9788376862,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7284881-L.jpg,5.99,3
"All the Bright Places","Jennifer Niven",9788408141,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14559665-L.jpg,7.99,1
"Vampire Academy","Richelle Mead",9780141328,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10136600-L.jpg,3.99,3
"The Crush","Sandra Brown",9783764501,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9619436-L.jpg,3.99,2
"Thunder on the Right","Mary Stewart",1444727109,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/34231-L.jpg,9.99,7
"Everything, Everything","Nicola Yoon",9782747084,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8140499-L.jpg,2.99,3
"First love","James Patterson",9780099591,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7387036-L.jpg,5.99,2
"The Claiming of Sleeping Beauty","Anne Rice",2266092030,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8401484-L.jpg,2.99,2
"Empire of Storms","Sarah J. Maas",9788328037,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14349313-L.jpg,4.99,3
"A Breath of Snow and Ashes","Diana Gabaldon",9788498387,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/239469-L.jpg,3.99,2
"Turtle Moon","Alice Hoffman",8423979091,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14809829-L.jpg,4.99,17
"Grievous Sin","Faye Kellerman",9783442731,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/290202-L.jpg,2.99,3
"Madam, Will You Talk?","Mary Stewart",9781602853,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/21768-L.jpg,4.99,2
"The Secret Life of CeeCee Wilkes","Diane Chamberlain",9787540462,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8373651-L.jpg,4.99,3
"Northern Lights","Nora Roberts",9506440794,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7246426-L.jpg,2.99,2
"Whispering Rock","Robyn Carr",9782290026,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14543633-L.jpg,4.99,3
"Born in Death","Nora Roberts",9783442370,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/259303-L.jpg,3.99,2
"Sweet Revenge","Nora Roberts",9788325205,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3201866-L.jpg,7.99,3
"Shadow souls","Lisa Jane Smith",9781444901,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6425948-L.jpg,3.99,7
"Second generation","Howard Fast",9780440179,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/476507-L.jpg,3.99,1
"Skylight Confessions","Alice Hoffman",9788492475,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14810310-L.jpg,4.99,3
"Private Scandals","Nora Roberts",9783453186,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3202870-L.jpg,4.99,7
"Shōgun","James Clavell",0440178002,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2394441-L.jpg,4.99,2
"Divine Evil","Nora Roberts",9785699465,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/3203129-L.jpg,5.99,3
"After You","Jojo Moyes",9788324035,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8118938-L.jpg,5.99,3
"Nightfall","Lisa Jane Smith",9789022558,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7117271-L.jpg,4.99,3
"The Dead Room","Heather Graham",9781585479,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1458643-L.jpg,1.99,3
"Lost Souls","Lisa Jackson",9780758211,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2815463-L.jpg,4.99,3
"Nine Coaches Waiting","Mary Stewart",0854561889,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/777961-L.jpg,1.99,5
"Fireside","Susan Childress",9780778314,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10305106-L.jpg,4.99,1
"Summer (Sunrise)","Karen Kingsbury",9780842387,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1819137-L.jpg,3.99,2
"Someday (Sunrise Series-Baxter 3, Book 3)","Karen Kingsbury",9780786297,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2815748-L.jpg,5.99,3
"Three Fates","Nora Roberts",2290330310,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4288494-L.jpg,2.99,3
"44 Cranberry Point","Debbie Macomber",9780778303,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/531899-L.jpg,5.99,1
"Kate Hannigan","Catherine Cookson",0708843832,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9323748-L.jpg,4.99,3
"The Sun is Also a Star","Nicola Yoon",9780553496,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8352503-L.jpg,7.99,3
"To All the Boys I've Loved Before","Jenny Han",9786070725,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7370711-L.jpg,5.99,1
"The Pregnant Widow","Martin Amis",9788307032,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6684648-L.jpg,3.99,19
"Cross My Heart","Carly Phillips",9781597224,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1998996-L.jpg,9.99,18
"If Tomorrow Comes","Sidney Sheldon",5150002747,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6515527-L.jpg,4.99,1
"The Spring of the Tiger","Eleanor Burford",0816167826,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4398826-L.jpg,4.99,4
"The fifteen streets","Catherine Cookson",0552113689,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8310209-L.jpg,5.99,1
"Shelter Mountain","Robyn Carr",9780778311,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6562239-L.jpg,4.99,2
"Woman without a past","Phyllis A. Whitney",3404119878,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1466740-L.jpg,5.99,5
"Exit to Eden","Anne Rice",9785699500,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6982156-L.jpg,2.99,3
"Holding Up the Universe","Jennifer Niven",9780141357,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9325117-L.jpg,4.99,5
"Crazy Rich Asians","Kevin Kwan",9781525286,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8251889-L.jpg,4.99,3
"The Man From Stone Creek","Linda Lael Miller",9780373777,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/221067-L.jpg,5.99,1
"Crescendo","Becca Fitzpatrick",9788375151,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6671379-L.jpg,3.99,3
"The Long Way to a Small, Angry Planet","Becky Chambers",9781473619,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8902659-L.jpg,7.99,2
"American wives and English husbands","Gertrude Atherton",0665039883,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/5765082-L.jpg,2.99,3
"Snowfall at Willow Lake","Susan Childress",9781471345,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2815929-L.jpg,4.99,5
"The Mighty Quinns","Kate Hoffmann",0373259476,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6419584-L.jpg,9.99,1
"The Hollow","Nora Roberts",9782890773,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6375236-L.jpg,4.99,3
"Come Sundown","Nora Roberts",9781250123,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8840947-L.jpg,3.99,2
"A Virgin River Christmas","Robyn Carr",9782290059,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14543659-L.jpg,9.99,1
"Queen of Shadows","Sarah J. Maas",9788328021,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7994583-L.jpg,1.99,2
"Paradise Valley","Robyn Carr",9782290057,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14543677-L.jpg,7.99,3
"The Naive and Sentimental Lover","John le Carré",9788401499,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9322764-L.jpg,7.99,1
"Literatura Nazi En America, La","Roberto Bolaño",9780811217,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8347875-L.jpg,1.99,1
"Sólo una muerte en Lisboa","Robert Wilson",2221094557,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2271776-L.jpg,1.99,1
"Broken","Megan Hart",0263906108,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1187026-L.jpg,4.99,1
"Montana","Debbie Macomber",9781551664,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1867546-L.jpg,4.99,2
"The Wolf Gift","Anne Rice",9781620904,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9324139-L.jpg,5.99,7
"The Heir (The Selection #4)","Kiera Cass",9788376863,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7434840-L.jpg,4.99,1
"Public secrets","Nora Roberts",9788324139,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6975634-L.jpg,5.99,3
"Mañana en la batalla piensa en mí","Javier Marías",2743600527,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/598354-L.jpg,9.99,1
"Call Me by Your Name","André Aciman",0374299218,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/11123807-L.jpg,2.99,3
"Daring to Dream","Nora Roberts",9785699343,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/319546-L.jpg,9.99,1
"Outlander","Diana Gabaldon",9780440212,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14428230-L.jpg,9.99,1
"Killing Time","Linda Howard",0749936010,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/210652-L.jpg,4.99,2
"Here I stay","Barbara Michaels",0812522508,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/38786-L.jpg,2.99,1
"Penny Plain","O. Douglas",0665722125,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1846397-L.jpg,3.99,6
"The Sparrow","Mary Doria Russell",0679451501,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/809738-L.jpg,7.99,2
"Tilly","Catherine Cookson",0688037151,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/366027-L.jpg,4.99,10
"Pleasure","Eric Jerome Dickey",9780525950,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2815772-L.jpg,4.99,2
"Life sentences","Laura Lippman",9789047511,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6399816-L.jpg,9.99,4
"De nuevo, el amor","Doris Lessing",2226085653,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/5273358-L.jpg,4.99,1
"The Infinite Sea","Richard Yancey",9780399162,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7385181-L.jpg,5.99,2
"The One Plus One","Jojo Moyes",9789187343,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8083684-L.jpg,5.99,3
"Innocence","Dean Koontz",9780812999,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10111196-L.jpg,2.99,2
"Dakota Born","Debbie Macomber",9781551665,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1458693-L.jpg,2.99,2
"March","Geraldine Brooks",9782714445,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14355980-L.jpg,2.99,1
"Kabalmysteriet","Jostein Gaarder",2744102393,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1004080-L.jpg,9.99,3
"Rogue","Danielle Steel",9782266211,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2411994-L.jpg,9.99,3
"Full Bloom (Full)","Janet Evanovich",9781250051,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/875162-L.jpg,9.99,3
"The Grey Beginning","Barbara Michaels",0812522524,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4942420-L.jpg,3.99,3
"Home before dark","Susan Childress",1551666731,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/771452-L.jpg,5.99,1
"The Flame and the Flower","Kathleen E. Woodiwiss",0380005255,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/234717-L.jpg,4.99,1
"Genuine Lies","Nora Roberts",5040044402,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6975688-L.jpg,2.99,2
"Vision in White","Nora Roberts",9783453407,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6028240-L.jpg,4.99,1
"A CROWNING MERCY","Bernard Cornwell",0007168233,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/11819-L.jpg,1.99,3
"311 Pelican Court","Debbie Macomber",9780786260,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1471619-L.jpg,2.99,5
"50 Harbor Street","Debbie Macomber",0786278684,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1473100-L.jpg,7.99,3
"Fall from grace","Danielle Steel",9781509800,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9228066-L.jpg,1.99,2
"House On Olive Street","Robyn Carr",9780778317,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14543687-L.jpg,1.99,2
"Second chance pass","Robyn Carr",9780778326,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6560869-L.jpg,1.99,5
"Just Ella","Margaret Peterson Haddix",1416936491,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/435575-L.jpg,3.99,2
"Savor the Moment","Nora Roberts",9785699646,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7246361-L.jpg,4.99,2
"Summer by the sea","Susan Childress",0739444484,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6797422-L.jpg,7.99,1
"P.S. I Still Love You","Jenny Han",9781407157,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7434792-L.jpg,9.99,3
"Exit West","Mohsin Hamid",9788416709,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7909066-L.jpg,2.99,6
"Mean Streak","Sandra Brown",9788466659,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9700215-L.jpg,2.99,3
"Shadow Spell","Nora Roberts",9785699788,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7480681-L.jpg,2.99,2
"Punk 57","Penelope Douglas",9781539427,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10107803-L.jpg,7.99,1
"Side Effects","Woody Allen",0345296532,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/207410-L.jpg,9.99,3
"La tempestad","Juan Manuel de Prada",9782744405,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2202888-L.jpg,3.99,1
"Without Mercy","Lisa Jackson",9781616642,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6686941-L.jpg,2.99,3
"Heiress","Janet Dailey",0316170925,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/855207-L.jpg,2.99,16
"The Game of Kings","Dorothy Dunnett",0446312827,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/421802-L.jpg,4.99,2
"A Will and a Way","Nora Roberts",9782280365,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6463418-L.jpg,4.99,3
"The River Knows","Jayne Ann Krentz",9780515144,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2590219-L.jpg,4.99,6
"The Sweetest Dream","Doris Lessing",9789722338,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1463-L.jpg,3.99,5
"Calico palace","Gwen Bristow",3795101999,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6385862-L.jpg,2.99,2
"Saint Odd","Dean Koontz",9780345545,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/12882830-L.jpg,9.99,1
"Tribute","Nora Roberts",9782749911,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6972684-L.jpg,2.99,4
"Lawless","Diana Palmer",9782280206,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/771484-L.jpg,4.99,2
"Mariana","Monica Dickens",0140007814,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/723364-L.jpg,1.99,2
"Thursdays at Eight","Debbie Macomber",1587243679,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6824714-L.jpg,4.99,1
"The Rogue","Janet Dailey",0671630385,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/409425-L.jpg,2.99,3
"The magician of Lublin","Isaac Bashevis Singer",0449240592,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/2097685-L.jpg,4.99,1
"Un furieux amour","Jennifer Wilde",0860074463,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6583393-L.jpg,7.99,6
"Dockside","Susan Childress",2280851555,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1458672-L.jpg,4.99,1
"Left to die","Lisa Jackson",9780340961,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7259693-L.jpg,5.99,1
"Malice","Lisa Jackson",9781602854,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6298029-L.jpg,9.99,2
"The bay at midnight","Diane Chamberlain",9782298004,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/12745268-L.jpg,3.99,3
"Without a Trace","Nora Roberts",9780263887,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7246425-L.jpg,9.99,3
"Summer Light","Luanne Rice",9780553593,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10925766-L.jpg,3.99,3
"Ghost walk","Heather Graham",9780778322,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/531858-L.jpg,3.99,7
"Falling for Rachel","Nora Roberts",9782280284,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6975888-L.jpg,4.99,1
"Eleanor Oliphant is Completely Fine","Gail Honeyman",9788416700,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8415055-L.jpg,4.99,2
"Night whispers","Judith McNaught",2266112929,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/403117-L.jpg,3.99,3
"Forget Me Not and Beautiful Dreamer","Ann Maxwell",0060847719,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/38067-L.jpg,3.99,1
"Every day","David Levithan",9781405264,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7235874-L.jpg,3.99,1
"It had to be you","Susan Elizabeth Phillips",5237052460,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6400754-L.jpg,7.99,2
"The Witness","Nora Roberts",9782298079,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7104488-L.jpg,9.99,2
"Culpa mía","Mercedes Ron",9782017052,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10512957-L.jpg,3.99,1
"The Siren","Kiera Cass",9788376864,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6302385-L.jpg,3.99,4
"Desperado","Diana Palmer",0373049390,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1957402-L.jpg,2.99,2
"The Wheel of Fortune","Susan Howatch",2221045513,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4187127-L.jpg,9.99,3
"Dakota home","Debbie Macomber",0778323935,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4306933-L.jpg,5.99,1
"Tempest in Eden","Sandra Brown",0786222948,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6568432-L.jpg,7.99,3
"Lover's Knot","Emilie Richards",9780739473,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1474099-L.jpg,1.99,3
"The Last Honest Woman","Nora Roberts",1551660202,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6578323-L.jpg,5.99,3
"The Middle Window","Elizabeth Goudge",9780515031,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8828571-L.jpg,4.99,3
"Comfort and Joy (Hannah, Kristin)","Kristin Hannah",9780375435,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/877943-L.jpg,3.99,2
"Una noche mágica","Danielle Steel",9785171006,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10171922-L.jpg,4.99,3
"The Ship of Brides","Jojo Moyes",9783499267,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/1185003-L.jpg,7.99,2
"This charming man","Marian Keyes",9780718149,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6303224-L.jpg,5.99,1
"Changing Habits","Debbie Macomber",0778312879,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/30778-L.jpg,7.99,2
"Foreign Fruit","Jojo Moyes",9788466340,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/11590092-L.jpg,9.99,1
"Bloodfever (Fever Series, Book 2)","Karen Marie Moning",9780385339,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8291361-L.jpg,1.99,3
"Halfway to Heaven (Mira (Audio))","Susan Childress",9781551668,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4345457-L.jpg,1.99,11
"Father Unknown","Lesley Pearse",9780141048,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/106614-L.jpg,9.99,3
"Pearl Jinx (Warner Forever)","Sandra Hill",9780446616,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/287635-L.jpg,3.99,2
"Before the Storm","Diane Chamberlain",9788376486,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/12745279-L.jpg,5.99,13
"Kiss River","Diane Chamberlain",9781551666,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/12745262-L.jpg,3.99,3
"Captivated","Nora Roberts",9782280838,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6975699-L.jpg,5.99,13
"The Pool of St. Branok","Victoria Holt",0399132570,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7884642-L.jpg,4.99,2
"8 Sandpiper Way","Debbie Macomber",9780778325,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/6308244-L.jpg,1.99,3
"A Good Yarn","Debbie Macomber",0739454056,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/4244937-L.jpg,4.99,6
"The wedding party","Robyn Carr",1551668394,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/14543785-L.jpg,2.99,15
"The Waitress","Melissa Nathan",9780060736,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/73854-L.jpg,3.99,4
"First Sight","Danielle Steel",9785170825,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/10219183-L.jpg,1.99,4
"Champion","Marie Lu",9780399256,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/8371540-L.jpg,3.99,3
"The Apartment","Danielle Steel",9788324159,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/7436715-L.jpg,5.99,2
"Prodigal Son","Danielle Steel",9785699856,"Romance","A book about romance.",https://covers.openlibrary.org/b/id/9863064-L.jpg,5.99,2
"The A.B.C. Murders","Agatha Christie",9782702436,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/14573514-L.jpg,2.99,4
"The Big Sleep","Raymond Chandler",9780194791,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/7268475-L.jpg,9.99,2
"Elephants Can Remember","Agatha Christie",9789021006,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/11165070-L.jpg,9.99,2
"The Curious Incident of the Dog in the Night-Time","Mark Haddon",2266142836,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/7890719-L.jpg,3.99,3
"Nemesis","Agatha Christie",9024513316,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/10249139-L.jpg,3.99,4
"They Came to Baghdad","Agatha Christie",2702411541,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/12846782-L.jpg,4.99,1
"Why Didn't they Ask Evans?","Agatha Christie",9780425125,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/9831097-L.jpg,3.99,2
"Emil und die Detektive","Erich Kästner",0582426995,"Mystery And Detective Stories","A book about mystery and detective stories.",https://covers.openlibrary.org/b/id/3065314-L.jpg,7.99,3
